Entry	Protein names	Gene names	Organism	Organism ID	yourlist:M20180906A7434721E10EE6586998A056CCD0537EAB5327E
A0A1D6L496	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L496
A0A1D6LER1	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	542718 ZEAMMB73_Zm00001d035156	Zea mays (Maize)	4577	A0A1D6LER1
A0A1D6LER2	Glyceraldehyde-3-phosphate dehydrogenase 2, cytosolic	542718 ZEAMMB73_Zm00001d035156	Zea mays (Maize)	4577	A0A1D6LER2
A0A1D6LER3	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	542718 ZEAMMB73_Zm00001d035156	Zea mays (Maize)	4577	A0A1D6LER3
A0A1D6LER4	Glyceraldehyde-3-phosphate dehydrogenase 2, cytosolic	542718 ZEAMMB73_Zm00001d035156	Zea mays (Maize)	4577	A0A1D6LER4
A0A1D6LH19	Uncharacterized protein	100193885 ZEAMMB73_Zm00001d035527	Zea mays (Maize)	4577	A0A1D6LH19
A0A1D6LR94	Zinc finger CCCH domain-containing protein 52	100191993 ZEAMMB73_Zm00001d036796	Zea mays (Maize)	4577	A0A1D6LR94
A0A1D6LR95	Zinc finger CCCH domain-containing protein 52	100191993 ZEAMMB73_Zm00001d036796	Zea mays (Maize)	4577	A0A1D6LR95
A0A1D6LR96	Zinc finger CCCH domain-containing protein 52	100191993 ZEAMMB73_Zm00001d036796	Zea mays (Maize)	4577	A0A1D6LR96
A0A1D6LSP0	Elongation factor gamma1	100192872 ZEAMMB73_Zm00001d036959	Zea mays (Maize)	4577	A0A1D6LSP0
A0A1D6LSP2	Elongation factor gamma1	100192872 ZEAMMB73_Zm00001d036959	Zea mays (Maize)	4577	A0A1D6LSP2
A0A1D6LSP3	Elongation factor gamma1	100192872 ZEAMMB73_Zm00001d036959	Zea mays (Maize)	4577	A0A1D6LSP3
A0A1D6LSP5	Elongation factor gamma1	100192872 ZEAMMB73_Zm00001d036959	Zea mays (Maize)	4577	A0A1D6LSP5
A0A1D6LSP6	Elongation factor gamma1	100192872 ZEAMMB73_Zm00001d036959	Zea mays (Maize)	4577	A0A1D6LSP6
A0A1D6LZX6	Heat shock protein 4	100217188 ZEAMMB73_Zm00001d037700	Zea mays (Maize)	4577	A0A1D6LZX6
A0A1D6LZX8	Heat shock protein 4	100217188 ZEAMMB73_Zm00001d037700	Zea mays (Maize)	4577	A0A1D6LZX8
A0A1D6LZX9	Heat shock protein 4	100217188 ZEAMMB73_Zm00001d037700	Zea mays (Maize)	4577	A0A1D6LZX9
A0A1D6LZY0	Heat shock protein 4	100217188 ZEAMMB73_Zm00001d037700	Zea mays (Maize)	4577	A0A1D6LZY0
A0A1D6LZY1	Heat shock protein 4	100217188 ZEAMMB73_Zm00001d037700	Zea mays (Maize)	4577	A0A1D6LZY1
A0A1D6LZY4	Heat shock protein 4	100217188 ZEAMMB73_Zm00001d037700	Zea mays (Maize)	4577	A0A1D6LZY4
A0A1D6LZY6	Heat shock protein 4	100217188 ZEAMMB73_Zm00001d037700	Zea mays (Maize)	4577	A0A1D6LZY6
A0A1D6LZY7	Heat shock protein 4	100217188 ZEAMMB73_Zm00001d037700	Zea mays (Maize)	4577	A0A1D6LZY7
A0A1D6LZZ0	Heat shock protein 4	100217188 ZEAMMB73_Zm00001d037700	Zea mays (Maize)	4577	A0A1D6LZZ0
A0A1D6LZZ1	Heat shock protein 4	100217188 ZEAMMB73_Zm00001d037700	Zea mays (Maize)	4577	A0A1D6LZZ1
A0A1D6LZZ2	Heat shock protein 4	100217188 ZEAMMB73_Zm00001d037700	Zea mays (Maize)	4577	A0A1D6LZZ2
A0A1D6MEZ6	Plasma membrane-associated cation-binding protein 1	100191938 ZEAMMB73_Zm00001d039283	Zea mays (Maize)	4577	A0A1D6MEZ6
A0A1D6MLN1	Putative zinc metalloprotease EGY2 chloroplastic	100193065 ZEAMMB73_Zm00001d039900	Zea mays (Maize)	4577	A0A1D6MLN1
A0A1D6MLN2	Putative zinc metalloprotease EGY2 chloroplastic	100193065 ZEAMMB73_Zm00001d039900	Zea mays (Maize)	4577	A0A1D6MLN2
A0A1D6MLN3	Putative zinc metalloprotease EGY2 chloroplastic	100193065 ZEAMMB73_Zm00001d039900	Zea mays (Maize)	4577	A0A1D6MLN3
A0A1D6MLN4	Putative zinc metalloprotease EGY2 chloroplastic	100193065 ZEAMMB73_Zm00001d039900	Zea mays (Maize)	4577	A0A1D6MLN4
A0A1D6MLN5	Putative zinc metalloprotease EGY2 chloroplastic	100193065 ZEAMMB73_Zm00001d039900	Zea mays (Maize)	4577	A0A1D6MLN5
A0A1D6MQ74	ATP-dependent Clp protease proteolytic subunit	100272400 ZEAMMB73_Zm00001d040322	Zea mays (Maize)	4577	A0A1D6MQ74
A0A1D6P2Q8	Elongation factor 1-alpha9	542581 ZEAMMB73_Zm00001d046449	Zea mays (Maize)	4577	A0A1D6P2Q8
A0A1D6P2Q9	Elongation factor 1-alpha9	542581 ZEAMMB73_Zm00001d046449	Zea mays (Maize)	4577	A0A1D6P2Q9
A0A1D6P2R5	Elongation factor 1-alpha9	542581 ZEAMMB73_Zm00001d046449	Zea mays (Maize)	4577	A0A1D6P2R5
A0A1D6P2R8	Elongation factor 1-alpha9	542581 ZEAMMB73_Zm00001d046449	Zea mays (Maize)	4577	A0A1D6P2R8
A0A1D6P2R9	Elongation factor 1-alpha9	542581 ZEAMMB73_Zm00001d046449	Zea mays (Maize)	4577	A0A1D6P2R9
A0A1D6P2S0	Elongation factor 1-alpha9	542581 ZEAMMB73_Zm00001d046449	Zea mays (Maize)	4577	A0A1D6P2S0
A0A1D6P2S1	Elongation factor 1-alpha9	542581 ZEAMMB73_Zm00001d046449	Zea mays (Maize)	4577	A0A1D6P2S1
A0A1D6P2S2	Elongation factor 1-alpha9	542581 ZEAMMB73_Zm00001d046449	Zea mays (Maize)	4577	A0A1D6P2S2
A0A1D6P2S3	Elongation factor 1-alpha9	542581 ZEAMMB73_Zm00001d046449	Zea mays (Maize)	4577	A0A1D6P2S3
A0A1D6P2S4	Elongation factor 1-alpha9	542581 ZEAMMB73_Zm00001d046449	Zea mays (Maize)	4577	A0A1D6P2S4
A0A1D6PBU4	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	100193777 ZEAMMB73_Zm00001d047603	Zea mays (Maize)	4577	A0A1D6PBU4
A0A1D6PBU5	L-Aspartase-like family protein	100193777 ZEAMMB73_Zm00001d047603	Zea mays (Maize)	4577	A0A1D6PBU5
A0A1D6PC80	Argininosuccinate lyase chloroplastic	100191977 ZEAMMB73_Zm00001d047667	Zea mays (Maize)	4577	A0A1D6PC80
A0A1D6PC82	Argininosuccinate lyase chloroplastic	100191977 ZEAMMB73_Zm00001d047667	Zea mays (Maize)	4577	A0A1D6PC82
A0A1D6PC83	Argininosuccinate lyase chloroplastic	100191977 ZEAMMB73_Zm00001d047667	Zea mays (Maize)	4577	A0A1D6PC83
A0A1D6PC84	Argininosuccinate lyase chloroplastic	100191977 ZEAMMB73_Zm00001d047667	Zea mays (Maize)	4577	A0A1D6PC84
A0A1D6PEM8	Transcription initiation factor TFIID subunit 6	100217288 ZEAMMB73_Zm00001d047898	Zea mays (Maize)	4577	A0A1D6PEM8
A0A1D6PEM9	Transcription initiation factor TFIID subunit 6	100217288 ZEAMMB73_Zm00001d047898	Zea mays (Maize)	4577	A0A1D6PEM9
A0A1D6PEN0	Transcription initiation factor TFIID subunit 6	100217288 ZEAMMB73_Zm00001d047898	Zea mays (Maize)	4577	A0A1D6PEN0
A0A1D6PEN3	Transcription initiation factor TFIID subunit 6	100217288 ZEAMMB73_Zm00001d047898	Zea mays (Maize)	4577	A0A1D6PEN3
A0A1D6PEN5	Transcription initiation factor TFIID subunit 6	100217288 ZEAMMB73_Zm00001d047898	Zea mays (Maize)	4577	A0A1D6PEN5
A0A1D6PEN6	Transcription initiation factor TFIID subunit 6	100217288 ZEAMMB73_Zm00001d047898	Zea mays (Maize)	4577	A0A1D6PEN6
A0A1D6QI24	CCAAT-HAP5-transcription factor 59	541965 ZEAMMB73_Zm00001d052621	Zea mays (Maize)	4577	A0A1D6QI24
A0A1D6QI32	CCAAT-HAP5-transcription factor 59	541965 ZEAMMB73_Zm00001d052621	Zea mays (Maize)	4577	A0A1D6QI32
A0A1D6QMN7	Proline--tRNA ligase cytoplasmic	100272402 ZEAMMB73_Zm00001d053196	Zea mays (Maize)	4577	A0A1D6QMN7
A0A1D6QMN8	Proline--tRNA ligase cytoplasmic	100272402 ZEAMMB73_Zm00001d053196	Zea mays (Maize)	4577	A0A1D6QMN8
B4F8Z3	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	100193777 ZEAMMB73_Zm00001d047603	Zea mays (Maize)	4577	B4F8Z3
B4FAA7	LUC7 related protein	100191822 ZEAMMB73_Zm00001d012865	Zea mays (Maize)	4577	B4FAA7
B4FAD9	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	B4FAD9
B4FAQ9	DREPP4 protein (Plasma membrane-associated cation-binding protein 1)	100191938 ZEAMMB73_Zm00001d039283	Zea mays (Maize)	4577	B4FAQ9
B4FAV4	Argininosuccinate lyase chloroplastic	100191977 ZEAMMB73_Zm00001d047667	Zea mays (Maize)	4577	B4FAV4
B4FAW3	Photosystem I reaction center subunit II-1 chloroplastic	100191984 ZEAMMB73_Zm00001d034543	Zea mays (Maize)	4577	B4FAW3
B4FAX8	Zinc finger CCCH domain-containing protein 52	100191993 ZEAMMB73_Zm00001d036796	Zea mays (Maize)	4577	B4FAX8
B4FBK8	3-ketoacyl-CoA thiolase 2 peroxisomal	100192501 ZEAMMB73_Zm00001d018487	Zea mays (Maize)	4577	B4FBK8
B4FBM9	60S ribosomal protein L3-1	100192516 ZEAMMB73_Zm00001d028622	Zea mays (Maize)	4577	B4FBM9
B4FBQ8	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 1.10.2.2)	100192538 ZEAMMB73_Zm00001d003879	Zea mays (Maize)	4577	B4FBQ8
B4FCC2	Zinc knuckle (CCHC-type) family protein	100192703 ZEAMMB73_Zm00001d008354	Zea mays (Maize)	4577	B4FCC2
B4FCK9	60S ribosomal protein L22-2	100192778 ZEAMMB73_Zm00001d022463	Zea mays (Maize)	4577	B4FCK9
B4FCM8	Histone H2B	100192792 ZEAMMB73_Zm00001d011236	Zea mays (Maize)	4577	B4FCM8
B4FD03	Aldolase superfamily protein	100192890 ZEAMMB73_Zm00001d049560	Zea mays (Maize)	4577	B4FD03
B4FDG2	Acyl carrier protein	100193006 ZEAMMB73_Zm00001d041701	Zea mays (Maize)	4577	B4FDG2
B4FDG5	Tetratricopeptide repeat (TPR)-like superfamily protein	100193007 ZEAMMB73_Zm00001d019397	Zea mays (Maize)	4577	B4FDG5
B4FDN3	Putative zinc metalloprotease EGY2 chloroplastic	100193065 ZEAMMB73_Zm00001d039900	Zea mays (Maize)	4577	B4FDN3
B4FDY6	Proteasome subunit alpha type (EC 3.4.25.1)	100193140 ZEAMMB73_Zm00001d045194	Zea mays (Maize)	4577	B4FDY6
B4FEK7	Chloroplast-localized Ptr ToxA-binding protein1 (Protein THYLAKOID FORMATION 1 chloroplastic)	100193314 ZEAMMB73_Zm00001d021764	Zea mays (Maize)	4577	B4FEK7
B4FFF1	Ran-binding protein 1 homolog a	100193549 ZEAMMB73_Zm00001d028755	Zea mays (Maize)	4577	B4FFF1
B4FFU1	Uncharacterized protein	100193654 ZEAMMB73_Zm00001d025108	Zea mays (Maize)	4577	B4FFU1
B4FFY3	Hydroxymethylglutaryl-CoA lyase mitochondrial	100193689 ZEAMMB73_Zm00001d008271	Zea mays (Maize)	4577	B4FFY3
B4FG31	Protein RCC2	100193728 ZEAMMB73_Zm00001d026532	Zea mays (Maize)	4577	B4FG31
B4FG49	L-ascorbate peroxidase S chloroplastic/mitochondrial	100193740 ZEAMMB73_Zm00001d023582	Zea mays (Maize)	4577	B4FG49
B4FG97	L-Aspartase-like family protein	100193777 ZEAMMB73_Zm00001d047603	Zea mays (Maize)	4577	B4FG97
B4FGU4	FKBP12-interacting protein of 37 kDa	100193941 ZEAMMB73_Zm00001d015194	Zea mays (Maize)	4577	B4FGU4
B4FH88	Bifunctional protein FolD 2	100272563 ZEAMMB73_Zm00001d010867	Zea mays (Maize)	4577	B4FH88
B4FLN3	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	B4FLN3
B4FM07	2-Cys peroxiredoxin BAS1 chloroplastic	100217217 ZEAMMB73_Zm00001d016736	Zea mays (Maize)	4577	B4FM07
B4FNC2	Transcriptional adapter ADA2b	542677 ZEAMMB73_Zm00001d013265	Zea mays (Maize)	4577	B4FNC2
B4FNF5	ATP-dependent Clp protease proteolytic subunit	100272400 ZEAMMB73_Zm00001d040322	Zea mays (Maize)	4577	B4FNF5
B4FNF8	Proline--tRNA ligase cytoplasmic	100272402 ZEAMMB73_Zm00001d053196	Zea mays (Maize)	4577	B4FNF8
B4FPB0	Bifunctional protein FolD 2	100272563 ZEAMMB73_Zm00001d010867	Zea mays (Maize)	4577	B4FPB0
B4FQ80	Chlorophyll a-b binding protein, chloroplastic	100193833 ZEAMMB73_Zm00001d039040	Zea mays (Maize)	4577	B4FQ80
B4FQC4	Serine--tRNA ligase cytoplasmic	100272738 ZEAMMB73_Zm00001d007369	Zea mays (Maize)	4577	B4FQC4
B4FQK0	Monodehydroascorbate reductase 5 mitochondrial	100272772 ZEAMMB73_Zm00001d024633	Zea mays (Maize)	4577	B4FQK0
B4FTF8	Glutathione S-transferase (Glutathione transferase10)	541828 ZEAMMB73_Zm00001d027542	Zea mays (Maize)	4577	B4FTF8
B4FUA1	Chlorophyll a-b binding protein, chloroplastic	542530 ZEAMMB73_Zm00001d009589	Zea mays (Maize)	4577	B4FUA1
B4FV03	Glutathione transferase11	541829 ZEAMMB73_Zm00001d027539	Zea mays (Maize)	4577	B4FV03
B6SNQ7	40S ribosomal protein S16-3	100194265 ZEAMMB73_Zm00001d044664	Zea mays (Maize)	4577	B6SNQ7
B6T1H0	40S ribosomal protein S6	542529 ZEAMMB73_Zm00001d022180	Zea mays (Maize)	4577	B6T1H0
B6T7F2	Acyl-desaturase (Stearoyl-acyl-carrier-protein desaturase2)	100192652 ZEAMMB73_Zm00001d012033	Zea mays (Maize)	4577	B6T7F2
B6T8Q5	T-complex protein 1 subunit zeta	100193477 ZEAMMB73_Zm00001d007192	Zea mays (Maize)	4577	B6T8Q5
B6TA37	Protein RCC2	100193728 ZEAMMB73_Zm00001d026532	Zea mays (Maize)	4577	B6TA37
B6UCS1	Metalloendopeptidase (Putative zinc metalloprotease EGY2 chloroplastic)	100193065 ZEAMMB73_Zm00001d039900	Zea mays (Maize)	4577	B6UCS1
B7ZYW4	Glutamate-1-semialdehyde 21-aminomutase 2 chloroplastic	100193482 ZEAMMB73_Zm00001d038547	Zea mays (Maize)	4577	B7ZYW4
B8A2G2	Transcription initiation factor TFIID subunit 6	100217288 ZEAMMB73_Zm00001d047898	Zea mays (Maize)	4577	B8A2G2
C0HHX2	Plasma membrane-associated cation-binding protein 1	100191938 ZEAMMB73_Zm00001d039283	Zea mays (Maize)	4577	C0HHX2
C0P3M8	Monodehydroascorbate reductase 5 mitochondrial	100272772 ZEAMMB73_Zm00001d024633	Zea mays (Maize)	4577	C0P3M8
C0P4K4	L-ascorbate peroxidase S chloroplastic/mitochondrial	100193740 ZEAMMB73_Zm00001d023582	Zea mays (Maize)	4577	C0P4K4
K7TXP9	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	K7TXP9
K7UDG5	Proline--tRNA ligase cytoplasmic	100272402 ZEAMMB73_Zm00001d053196	Zea mays (Maize)	4577	K7UDG5
K7W152	Transcription initiation factor TFIID subunit 6	100217288 ZEAMMB73_Zm00001d047898	Zea mays (Maize)	4577	K7W152
O04014	40S ribosomal protein S6	rps6-1 542529 ZEAMMB73_Zm00001d022180	Zea mays (Maize)	4577	O04014
O50018	Elongation factor 1-alpha	EF1-A 542581 ZEAMMB73_Zm00001d046449	Zea mays (Maize)	4577	O50018
Q41746	Chlorophyll a-b binding protein, chloroplastic	Lhcb5-1 542716 ZEAMMB73_Zm00001d007267	Zea mays (Maize)	4577	Q41746
Q768R5	Oxo-glutarate/malate transporter1 (Plastidic 2-oxoglutarate/malate transporter)	ZmpOMT1 542560 ZEAMMB73_Zm00001d023929	Zea mays (Maize)	4577	Q768R5
Q8L8G6	Transcriptional adapter	hxa103 542677 MYBR106 ZEAMMB73_Zm00001d013265	Zea mays (Maize)	4577	Q8L8G6
Q9SLP6	Ferredoxin--NADP reductase, chloroplastic (FNR) (EC 1.18.1.2)	L-FNRI 542558 ZEAMMB73_Zm00001d045575	Zea mays (Maize)	4577	Q9SLP6
